2721,ジェイホールディングス,299.76
2722,アイケイ,678.72
2726,パルグループホールディングス,1358.92
2729,JALUX,1748.84
2730,エディオン,980.92
2733,あらた,4446.4
2734,サーラコーポレーション,578.12
2735,ワッツ,759.36
2736,フェスタリアホールディングス,1252.72
2737,トーメンデバイス,3595.6
2742,ハローズ,3057.52
2743,ピクセルカンパニーズ,134.76
2747,北雄ラッキー,
2749,JPホールディングス,280.24
2750,石光商事,377.28
2751,テンポスホールディングス,2020.28
2752,フジオフードシステム,1533.32
2753,あみやき亭,3139.0
2754,東葛ホールディングス,
2760,東京エレクトロンデバイス,2812.8
2762,三光マーケティングフーズ,338.72
2763,エフティグループ,1314.2
2764,ひらまつ,183.28
2767,フィールズ,368.12
2768,双日,247.28
2769,ヴィレッジヴァンガードコーポレーション,950.6
2773,ミューチュアル,830.28
2776,新都ホールディングス,97.68
2777,カッシーナ・イクスシー,
2778,パレモ・ホールディングス,228.24
2780,コメ兵,823.6
2782,セリア,3523.0
2784,アルフレッサホールディングス,2151.12
2788,アップルインターナショナル,159.44
2789,カルラ,430.16
2790,ナフコ,1305.64
2791,大黒天物産,4224.4
2792,ハニーズホールディングス,1189.12
2795,日本プリメックス,701.16
2796,ファーマライズホールディングス,669.56
2798,ワイズテーブルコーポレーション,2076.6
2801,キッコーマン,5189.4
2802,味の素,1865.78
2804,ブルドックソース,1117.16
2805,ヱスビー食品,4007.8
2806,ユタカフーズ,
2809,キユーピー,2111.56
2810,ハウス食品グループ本社,3590.0
2811,カゴメ,2937.72
2812,焼津水産化学工業,928.92
2813,和弘食品,
2814,佐藤食品工業,
2815,アリアケジャパン,7196.0
2816,ダイショー,1188.68
2818,ピエトロ,1614.04
2819,エバラ食品工業,2177.2
2820,やまみ,2187.4
2830,アヲハタ,
2831,はごろもフーズ,2882.64
2871,ニチレイ,2950.76
2872,セイヒョー,
2874,横浜冷凍,898.52
2875,東洋水産,5489.6
2876,ジェーシー・コムサ,501.2
2877,日東ベスト,
2882,イートアンド,1781.0
2883,大冷,1923.32
2884,ヨシムラ・フード・ホールディングス,1172.36
2892,日本食品化工,1393.08
2894,石井食品,216.6
2897,日清食品ホールディングス,8961.2
2899,永谷園ホールディングス,2210.08
2901,石垣食品,126.2
2902,太陽化学,1765.44
2903,シノブフーズ,608.52
2904,一正蒲鉾,984.92
2905,オーケー食品工業,
2907,あじかん,
2908,フジッコ,1963.04
2910,ロック・フィールド,1342.28
2911,旭松食品,
2914,日本たばこ産業,2100.16
2915,ケンコーマヨネーズ,2120.6
2916,仙波糖化工業,643.04
2917,大森屋,759.28
2918,わらべや日洋ホールディングス,1706.8
2919,マルタイ,
2922,なとり,1728.32
2923,サトウ食品工業,
2924,イフジ産業,798.6
2925,ピックルスコーポレーション,2301.68
2926,篠崎屋,91.32
2927,AFC-HDアムスライフサイエンス,668.08
2928,RIZAPグループ,168.04
2929,ファーマフーズ,1074.16
2930,北の達人コーポレーション,544.08
2931,ユーグレナ,744.92
2970,グッドライフカンパニー,879.76
2974,大英産業,
2975,スター・マイカ・ホールディングス,1519.6
2976,日本グランデ,
2978,ツクルバ,892.44
2980,SREホールディングス,1926.0
2981,ランディックス,2438.56
2982,ADワークスグループ,182.72
3001,片倉工業,1152.24
3002,グンゼ,3822.4
3003,ヒューリック,1065.76
3004,神栄,500.28
3010,価値開発,115.04
3011,バナーズ,106.72
3020,アプライド,3400.24
3021,パシフィックネット,1594.88
3023,ラサ商事,886.4
3024,クリエイト,618.84
3028,アルペン,1729.72
3030,ハブ,727.2
3031,ラクーンホールディングス,779.56
3032,ゴルフ・ドゥ,293.96
3034,クオールホールディングス,1205.64
3035,ケイティケイ,308.0
3036,アルコニックス,1236.04
3038,神戸物産,5575.0
3040,ソリトンシステムズ,1399.44
3041,ビューティ花壇,261.2
3042,セキュアヴェイル,786.96
3045,カワサキ,
3046,ジンズホールディングス,6690.4
3047,TRUCK-ONE,256.88
3048,ビックカメラ,1101.96
3050,DCMホールディングス,1101.08
3053,ペッパーフードサービス,544.4
3054,ハイパー,583.52
3057,ゼットン,775.72
3058,三洋堂ホールディングス,816.56
3059,ヒラキ,913.92
3063,ジェイグループホールディングス,570.28
3064,MonotaRO,3982.6
3065,ライフフーズ,
3066,JBイレブン,744.68
3067,東京一番フーズ,504.52
3068,WDI,1535.2
3069,JFLAホールディングス,365.84
3070,アマガサ,293.24
3071,ストリーム,73.4
3073,DDホールディングス,981.56
3075,銚子丸,1149.04
3076,あいホールディングス,1434.4
3077,ホリイフードサービス,498.32
3079,ディーブイエックス,909.28
3080,ジェーソン,492.92
3082,きちりホールディングス,642.48
3083,シーズメン,348.56
3085,アークランドサービスホールディングス,1898.16
3086,J.フロントリテイリング,909.84
3087,ドトール・日レスホールディングス,1785.92
3088,マツモトキヨシホールディングス,3907.0
3089,テクノアルファ,975.56
3091,ブロンコビリー,2387.2
3092,ZOZO,2084.36
3093,トレジャー・ファクトリー,725.08
3094,スーパーバリュー,507.32
3096,オーシャンシステム,985.08
3097,物語コーポレーション,7946.8
3098,ココカラファイン,5491.2
3099,三越伊勢丹ホールディングス,703.04
3101,東洋紡,1488.04
3103,ユニチカ,352.8
3104,富士紡ホールディングス,3205.92
3105,日清紡ホールディングス,793.16
3106,倉敷紡績,2380.76
3107,ダイワボウホールディングス,7349.2
3109,シキボウ,1036.48
3110,日東紡績,5459.2
3111,オーミケンシ,447.96
3113,Oakキャピタル,92.88
3116,トヨタ紡織,1450.48
3121,マーチャント・バンカーズ,307.52
3123,サイボー,
3125,新内外綿,666.2
3131,シンデン・ハイテックス,1165.32
3132,マクニカ・富士エレホールディングス,1647.36
3133,海帆,531.96
3134,Hamee,1419.56
3135,マーケットエンタープライズ,2325.56
3137,ファンデリー,870.72
3138,富士山マガジンサービス,1103.64
3139,ラクト・ジャパン,3802.6
3140,イデアインターナショナル,981.28
3141,ウエルシアホールディングス,8432.0
3143,オーウイル,1021.88
3148,クリエイトSDホールディングス,3295.6
3150,グリムス,2544.44
3151,バイタルケーエスケー・ホールディングス,1071.4
3153,八洲電機,880.8
3154,メディアスホールディングス,953.24
3156,レスターホールディングス,2032.72
3157,ジューテックホールディングス,991.72
3159,丸善CHIホールディングス,383.96
3160,大光,691.72
3161,アゼアス,972.2
3166,OCHIホールディングス,1437.84
3167,TOKAIホールディングス,983.64
3168,黒谷,464.2
3169,ミサワ,550.36
3171,マックスバリュ九州,2404.12
3172,ティーライフ,1062.72
3173,Cominix,735.36
3174,ハピネス・アンド・ディ,873.28
3175,エー・ピーカンパニー,453.04
3176,三洋貿易,957.96
3177,ありがとうサービス,
3178,チムニー,1793.84
3179,シュッピン,815.44
3180,ビューティガレージ,1714.64
3181,買取王国,
3182,オイシックス・ラ・大地,1993.12
3183,ウイン・パートナーズ,967.72
3184,ICDAホールディングス,
3185,夢展望,321.08
3186,ネクステージ,867.36
3187,サンワカンパニー,232.2
3189,ANAP,355.88
3190,ホットマン,512.84
3191,ジョイフル本田,1310.36
3192,白鳩,277.84
3193,鳥貴族,1808.32
3194,キリン堂ホールディングス,2119.88
3195,ジェネレーションパス,571.4
3196,ホットランド,1221.44
3197,すかいらーくホールディングス,1746.64
3198,SFPホールディングス,1638.44
3199,綿半ホールディングス,1832.76
3201,日本毛織,992.76
3202,ダイトウボウ,126.64
3204,トーア紡コーポレーション,492.84
3205,ダイドーリミテッド,214.48
3221,ヨシックス,2263.36
3222,ユナイテッド・スーパーマーケット・ホールディングス,1095.0
3223,エスエルディー,683.08
3224,ゼネラル・オイスター,883.68
3228,三栄建築設計,1228.0
3231,野村不動産ホールディングス,1981.0
3232,三重交通グループホールディングス,481.64
3236,プロパスト,152.0
3237,イントランス,84.08
3238,セントラル総合開発,277.08
3241,ウィル,271.92
3242,アーバネットコーポレーション,299.64
3244,サムティ,1457.64
3245,ディア・ライフ,470.32
3246,コーセーアールイー,534.08
3248,アールエイジ,503.52
3252,日本商業開発,1518.96
3254,プレサンスコーポレーション,1270.56
3258,ユニゾホールディングス,5983.2
3260,エスポア,
3261,グランディーズ,369.48
3264,アスコット,159.24
3266,ファンドクリエーショングループ,88.08
3267,フィル・カンパニー,2970.8
