2151,タケエイ,941.2,946.72
2152,幼児活動研究会,890.04,892.56
2153,E・Jホールディングス,1530.52,1531.56
2154,ビーネックスグループ,855.92,863.28
2156,セーラー広告,,
2157,コシダカホールディングス,503.72,503.64
2158,FRONTEO,696.52,714.4
2159,フルスピード,485.24,491.48
2160,ジーエヌアイグループ,1708.76,1717.04
2162,nmsホールディングス,304.84,304.84
2163,アルトナー,811.28,822.68
2164,地域新聞社,686.2,690.28
2168,パソナグループ,1234.32,1236.68
2169,CDS,1287.64,1286.6
2170,リンクアンドモチベーション,438.28,441.36
2172,インサイト,329.8,331.6
2173,博展,502.28,501.88
2174,GCA,658.24,659.96
2175,エス・エム・エス,2634.92,2634.88
2176,イナリサーチ,733.56,739.8
2178,トライステージ,312.72,313.36
2179,成学社,784.88,787.4
2180,サニーサイドアップグループ,800.24,807.0
2181,パーソルホールディングス,1416.68,1425.76
2183,リニカル,942.04,940.8
2185,シイエム・シイ,2188.8,2194.24
2186,ソーバル,1034.84,1040.8
2191,テラ,1114.92,1153.24
2193,クックパッド,308.28,310.72
2196,エスクリ,435.6,436.24
2198,アイ・ケイ・ケイ,607.52,606.32
2201,森永製菓,4415.6,4421.0
2204,中村屋,4043.6,4045.6
2206,江崎グリコ,5143.6,5147.2
2207,名糖産業,1300.24,1301.44
2208,ブルボン,1804.48,1804.16
2209,井村屋グループ,2023.36,2031.04
2211,不二家,2150.44,2153.92
2212,山崎製パン,1876.68,1876.36
2215,第一屋製パン,955.48,956.68
2216,カンロ,1497.84,1497.52
2217,モロゾフ,5766.8,5764.4
2218,日糧製パン,,
2220,亀田製菓,5302.0,5297.6
2221,岩塚製菓,3563.4,3579.8
2222,寿スピリッツ,5111.0,5119.6
2224,コモ,2414.76,2415.08
2226,湖池屋,,
2229,カルビー,3020.4,3021.48
2264,森永乳業,4501.8,4511.0
2266,六甲バター,1513.08,1518.56
2267,ヤクルト本社,6605.6,6626.8
2268,B-Rサーティワンアイスクリーム,3988.2,3992.2
2269,明治ホールディングス,8050.0,8088.8
2270,雪印メグミルク,2622.6,2620.4
2281,プリマハム,2580.72,2595.64
2282,日本ハム,4051.8,4077.2
2286,林兼産業,579.4,579.84
2288,丸大食品,1971.4,1967.84
2291,福留ハム,,
2292,S　Foods,2570.4,2585.08
2293,滝沢ハム,,
2294,柿安本店,2549.72,2559.64
2296,伊藤ハム米久ホールディングス,648.56,649.72
2300,きょくとう,501.24,501.88
2301,学情,1305.88,1308.32
2303,ドーン,2221.96,2225.44
2304,CSSホールディングス,269.44,271.32
2305,スタジオアリス,1640.2,1643.36
2307,クロスキャット,1086.8,1092.64
2309,シミックホールディングス,1496.08,1498.16
2311,エプコ,1122.08,1126.08
2315,CAICA,33.32,33.68
2317,システナ,1523.32,1526.84
2321,ソフトフロントホールディングス,133.24,132.72
2323,fonfun,363.92,365.44
2325,NJS,1793.44,1795.56
2326,デジタルアーツ,8398.8,8430.0
2327,日鉄ソリューションズ,2904.76,2913.52
2329,東北新社,578.36,578.4
2330,フォーサイド,104.8,105.6
2331,綜合警備保障,5330.8,5321.2
2332,クエスト,1222.44,1229.88
2334,イオレ,1426.16,1431.96
2335,キューブシステム,785.72,791.8
2337,いちご,298.76,298.88
2338,ビットワングループ,318.6,323.52
2340,極楽湯ホールディングス,377.16,377.76
2341,アルバイトタイムス,163.2,163.24
2342,トランスジェニック,372.76,376.64
2344,平安レイサービス,839.04,840.08
2345,クシム,1146.16,1164.44
2349,エヌアイデイ,1387.28,1396.88
2351,ASJ,1452.28,1456.76
2352,エイジア,1326.64,1329.8
2353,日本駐車場開発,141.16,141.4
2354,YE_DIGITAL,560.84,568.88
2359,コア,1189.88,1191.96
2362,夢真ホールディングス,615.8,616.36
2370,メディネット,111.44,113.8
2371,カカクコム,2676.48,2686.72
2372,アイロムグループ,2664.2,2713.24
2373,ケア21,1517.44,1520.12
2374,セントケア・ホールディング,421.4,421.36
2375,ギグワークス,1355.64,1390.4
2376,サイネックス,662.6,664.48
2378,ルネサンス,1134.44,1135.6
2379,ディップ,2517.72,2514.16
2384,SBSホールディングス,2230.4,2250.8
2385,総医研ホールディングス,487.76,491.6
2388,ウェッジホールディングス,111.48,113.24
2389,オプトホールディング,1485.44,1486.0
2391,プラネット,1503.72,1502.36
2393,日本ケアサプライ,1332.16,1333.52
2395,新日本科学,665.44,667.4
2397,DNAチップ研究所,747.64,758.36
2398,ツクイ,516.88,519.24
2402,アマナ,626.08,629.32
2404,鉄人化計画,301.04,301.44
2406,アルテサロンホールディングス,496.36,498.6
2408,KG情報,275.48,276.64
2410,キャリアデザインセンター,974.88,981.56
2411,ゲンダイエージェンシー,281.04,281.92
2412,ベネフィット・ワン,2258.76,2262.16
2413,エムスリー,4307.2,4334.8
2415,ヒューマンホールディングス,806.56,805.32
2417,ツヴァイ,,
2418,ツカダ・グローバルホールディング,371.68,370.92
2424,ブラス,511.08,514.12
2425,ケアサービス,514.8,514.92
2427,アウトソーシング,665.12,670.32
2428,ウェルネット,716.48,718.72
2429,ワールドホールディングス,1786.76,1788.72
2432,ディー・エヌ・エー,1467.36,1467.4
2433,博報堂DYホールディングス,1276.28,1282.48
2435,シダー,204.84,205.36
2436,共同ピーアール,817.68,820.76
2437,Shinwa_Wise_Holdings,389.84,396.52
2438,アスカネット,1554.72,1574.0
2440,ぐるなび,691.52,696.48
2445,タカミヤ,492.6,494.44
2453,ジャパンベストレスキューシステム,822.36,831.92
2454,オールアバウト,743.92,753.48
2459,アウンコンサルティング,180.28,182.48
2461,ファンコミュニケーションズ,459.04,458.68
2462,ライク,1639.96,1631.64
2464,ビジネス・ブレークスルー,376.68,376.96
2467,バルクホールディングス,232.4,232.6
2468,フュートレック,426.16,427.24
2469,ヒビノ,1401.16,1396.32
2471,エスプール,765.84,769.52
2475,WDBホールディングス,2635.72,2646.76
